algorithm,heuristic,time_s,nodes_generated,nodes_expanded,max_frontier,solution_len
IDA*,MISPLACED,0.03125,4170,1528,25,23
IDA*,MISPLACED,0.07813,22106,8137,42,33
IDA*,MISPLACED,0.10938,22464,8274,40,35
IDA*,MANHATTAN,0.01563,438,162,17,23
IDA*,MANHATTAN,0.01563,4856,1853,32,31
IDA*,MANHATTAN,0.01563,6327,2412,30,31
IDA*,MANHATTAN,0.12500,108277,36418,52,52
IDA*,MANHATTAN,1.28125,30835,10181,62,55
IDA*,MANHATTAN,7.29688,5870480,2011285,69,62
IDA*,MANHATTAN,23.15625,1020539,337018,77,65
IDA*,MANHATTAN,75.76563,20037573,6715511,81,68
IDA*,MANHATTAN,86.51563,46264956,15933038,77,69
IDA*,DISJOINT_PATTERN,0.00001,588,217,24,25
IDA*,DISJOINT_PATTERN,0.00001,440,159,50,51
IDA*,DISJOINT_PATTERN,0.00001,1825,670,56,45
IDA*,DISJOINT_PATTERN,0.10938,88141,28850,130,120
IDA*,DISJOINT_PATTERN,0.06250,59012,19163,126,95
IDA*,DISJOINT_PATTERN,0.00001,2266,731,114,100
IDA*,DISJOINT_PATTERN,0.03125,24851,8043,119,109
IDA*,DISJOINT_PATTERN,0.03125,20588,6700,111,96
IDA*,DISJOINT_PATTERN,0.06250,60823,19948,133,113
IDA*,DISJOINT_PATTERN,0.03125,33101,10782,144,126
