algorithm,heuristic,time_s,nodes_generated,nodes_expanded,max_frontier,solution_len
A*,MISPLACED,0.03125,15677,5794,3209,21
A*,MISPLACED,0.31250,385074,143847,25016,31
A*,MISPLACED,0.25000,385071,143846,25030,31
A*,MANHATTAN,0.01563,2489,931,525,21
A*,MANHATTAN,0.04688,55925,21197,8866,31
A*,MANHATTAN,0.03125,55925,21197,8864,31
A*,DISJOINT_PATTERN,0.01563,1671,621,381,23
A*,DISJOINT_PATTERN,0.00001,1361,502,380,31
A*,DISJOINT_PATTERN,0.00001,1363,502,317,31
A*,DISJOINT_PATTERN,0.17188,57770,18710,18751,80
A*,DISJOINT_PATTERN,0.06250,29181,9436,18750,69
A*,DISJOINT_PATTERN,0.56250,170733,55568,54256,86
A*,DISJOINT_PATTERN,0.01563,2177,706,54255,81
A*,DISJOINT_PATTERN,0.01563,9046,2954,2982,78
A*,DISJOINT_PATTERN,0.10938,59551,19558,18835,77
A*,DISJOINT_PATTERN,0.04688,33966,11105,18834,102
IDA*,DISJOINT_PATTERN,0.00001,588,217,24,25
IDA*,DISJOINT_PATTERN,0.00001,440,159,50,51
IDA*,DISJOINT_PATTERN,0.00001,1825,670,56,45
IDA*,DISJOINT_PATTERN,0.10938,88141,28850,130,120
IDA*,DISJOINT_PATTERN,0.06250,59012,19163,126,95
IDA*,DISJOINT_PATTERN,0.00001,2266,731,114,100
IDA*,DISJOINT_PATTERN,0.03125,24851,8043,119,109
IDA*,DISJOINT_PATTERN,0.03125,20588,6700,111,96
IDA*,DISJOINT_PATTERN,0.06250,60823,19948,133,113
IDA*,DISJOINT_PATTERN,0.03125,33101,10782,144,126
